ticker,isin,branche,idNotation
DAX,DE0008469008,Deutschland,20735
MDAX,DE0008467416,Deutschland,323547
SDAX,DE0009653386,Deutschland,324724 
EURO STOXX 50,EU0009658145,Europe,193736
S&P 500,US78378X1072,USA,4359526
Nasdaq 100,US6311011026,USA,325104
MSCI World,GB00BJDQQQ59,World,7070261
